,Position,Points
Ferrari,1,172
McLaren Mercedes,2,151
Sauber BMW,3,135
Renault,4,80
Toyota,5,56
STR Ferrari,6,39
Red Bull Renault,7,29
Williams Toyota,8,26
Honda,9,14
Force India Ferrari,10,0
Super Aguri Honda,11,0
