,Position,Points
Brawn Mercedes,1,172
RBR Renault,2,153.5
McLaren Mercedes,3,71
Ferrari,4,70
Toyota,5,59.5
Sauber BMW,6,36
Williams Toyota,7,34.5
Renault,8,26
Force India Mercedes,9,13
STR Ferrari,10,8
