,Position,Points
McLaren Mercedes,1,156
Ferrari,2,133
Williams Mecachrome,3,38
Jordan Mugen Honda,4,34
Benetton Playlife,5,33
Sauber Petronas,6,10
Arrows,7,6
Stewart Ford,8,5
Prost Peugeot,9,1
