,Position,Points
Renault,1,206
Ferrari,2,201
McLaren Mercedes,3,110
Honda,4,86
Sauber BMW,5,36
Toyota,6,35
RBR Ferrari,7,16
Williams Cosworth,8,11
STR Cosworth,9,1
MF1 Toyota,10,0
Super Aguri Honda,11,0
