,Position,Points
McLaren Ford,1,73
Ferrari,2,65
Tyrrell Ford,3,52
Lotus Ford,4,42
Brabham Ford,5,35
Hesketh Ford,6,15
BRM,7,10
Shadow Ford,8,7
March Ford,9,6
Iso Marlboro Ford,10,4
Surtees Ford,11,3
Lola Ford,12,1
