,Position,Points
Red Bull Racing RBPT,1,759
Ferrari,2,554
Mercedes,3,515
Alpine Renault,4,173
McLaren Mercedes,5,159
Alfa Romeo Ferrari,6,55
Aston Martin Aramco Mercedes,7,55
Haas Ferrari,8,37
AlphaTauri RBPT,9,35
Williams Mercedes,10,8
