,Position,Points
Mercedes,1,765
Red Bull Racing TAG Heuer,2,468
Ferrari,3,398
Force India Mercedes,4,173
Williams Mercedes,5,138
McLaren Honda,6,76
Toro Rosso Ferrari,7,63
Haas Ferrari,8,29
Renault,9,8
Sauber Ferrari,10,2
MRT Mercedes,11,1
