,Position,Points
Ferrari,1,221
Williams BMW,2,92
McLaren Mercedes,3,65
Renault,4,23
Sauber Petronas,5,11
Jordan Honda,6,9
Jaguar Cosworth,7,8
BAR Honda,8,7
Minardi Asiatech,9,2
Toyota,10,2
Arrows Cosworth,11,2
