,Position,Points
Ferrari,1,262
BAR Honda,2,119
Renault,3,105
Williams BMW,4,88
McLaren Mercedes,5,69
Sauber Petronas,6,34
Jaguar Cosworth,7,10
Toyota,8,9
Jordan Ford,9,5
Minardi Cosworth,10,1
