,Position,Points
Lotus Ford,1,92
Tyrrell Ford,2,82
McLaren Ford,3,58
Brabham Ford,4,22
March Ford,5,14
Ferrari,6,12
BRM,6,12
Shadow Ford,8,9
Surtees Ford,9,7
Iso Marlboro Ford,10,2
Tecno,11,1
