,Position,Points
Lotus Ford,1,86
Ferrari,2,58
Brabham Alfa Romeo,3,53
Tyrrell Ford,4,38
Wolf Ford,5,24
Ligier Matra,6,19
Fittipaldi Ford,7,17
McLaren Ford,8,15
Williams Ford,9,11
Arrows Ford,9,11
Shadow Ford,11,6
Renault,12,3
Surtees Ford,13,1
Ensign Ford,13,1
