,Position,Points
McLaren TAG,1,90
Ferrari,2,82
Lotus Renault,3,71
Williams Honda,4,71
Brabham BMW,5,26
Ligier Renault,6,23
Renault,7,16
Arrows BMW,8,14
Tyrrell Ford,9,4
Tyrrell Renault,10,3
