,Position,Points
Renault,1,191
McLaren Mercedes,2,182
Ferrari,3,100
Toyota,4,88
Williams BMW,5,66
BAR Honda,6,38
RBR Cosworth,7,34
Sauber Petronas,8,20
Jordan Toyota,9,12
Minardi Cosworth,10,7
