,Position,Points
Williams Ford,1,120
Ligier Ford,2,66
Brabham Ford,3,55
Renault,4,38
Lotus Ford,5,14
Tyrrell Ford,6,12
Arrows Ford,7,11
Fittipaldi Ford,7,11
McLaren Ford,7,11
Ferrari,10,8
Alfa Romeo,11,4
