,Position,Points
Williams Honda,1,137
McLaren TAG,2,76
Lotus Honda,3,64
Ferrari,4,53
Benetton Ford,5,28
Tyrrell Ford,6,11
Arrows Megatron,7,11
Brabham BMW,8,10
Lola Ford,9,3
Zakspeed,10,2
March Ford,11,1
Ligier Megatron,12,1
AGS Ford,13,1
