,Position,Points
Ferrari,1,128
McLaren Mercedes,2,124
Jordan Mugen Honda,3,61
Stewart Ford,4,36
Williams Supertec,5,35
Benetton Playlife,6,16
Prost Peugeot,7,9
Sauber Petronas,8,5
Minardi Ford,9,1
Arrows,10,1
