,Position,Points
Williams Renault,1,168
McLaren Ford,2,84
Benetton Ford,3,72
Ferrari,4,28
Ligier Renault,5,23
Lotus Ford,6,12
Sauber,6,12
Minardi Ford,8,7
Footwork Mugen Honda,9,4
Larrousse Lamborghini,10,3
Jordan Hart,10,3
