,Position,Points
Mercedes,1,613.5
Red Bull Racing Honda,2,585.5
Ferrari,3,323.5
McLaren Mercedes,4,275
Alpine Renault,5,155
AlphaTauri Honda,6,142
Aston Martin Mercedes,7,77
Williams Mercedes,8,23
Alfa Romeo Racing Ferrari,9,13
Haas Ferrari,10,0
