,Position,Points
McLaren Mercedes,1,666
Ferrari,2,652
Red Bull Racing Honda RBPT,3,589
Mercedes,4,468
Aston Martin Aramco Mercedes,5,94
Alpine Renault,6,65
Haas Ferrari,7,58
RB Honda RBPT,8,46
Williams Mercedes,9,17
Kick Sauber Ferrari,10,4
