,Position,Points
Ferrari,1,89
Renault,2,79
Brabham BMW,3,72
Williams Ford,4,36
McLaren Ford,5,34
Alfa Romeo,6,18
Tyrrell Ford,7,12
Lotus Renault,8,11
Toleman Hart,9,10
Arrows Ford,10,4
Williams Honda,11,2
Theodore Ford,12,1
Lotus Ford,13,1
