,Position,Points
McLaren Honda,1,139
Williams Renault,2,125
Ferrari,3,55.5
Benetton Ford,4,38.5
Jordan Ford,5,13
Tyrrell Honda,6,12
Minardi Ferrari,7,6
Dallara Judd,8,5
Lotus Judd,9,3
Brabham Yamaha,9,3
Lola Ford,11,2
Leyton House Ilmor,12,1
