,Position,Points
McLaren Honda,1,199
Ferrari,2,65
Benetton Ford,3,39
Arrows Megatron,4,23
Lotus Honda,5,23
March Judd,6,22
Williams Judd,7,20
Tyrrell Ford,8,5
Rial Ford,9,3
Minardi Ford,10,1
