,Position,Points
Ferrari,1,158
Williams BMW,2,144
McLaren Mercedes,3,142
Renault,4,88
BAR Honda,5,26
Sauber Petronas,6,19
Jaguar Cosworth,7,18
Toyota,8,16
Jordan Ford,9,13
Minardi Cosworth,10,0
