,Position,Points
Williams Renault,1,164
McLaren Honda,2,99
Benetton Ford,3,91
Ferrari,4,21
Lotus Ford,5,13
Tyrrell Ilmor,6,8
Footwork Mugen Honda,7,6
Ligier Renault,8,6
March Ilmor,9,3
Dallara Ferrari,10,2
Jordan Yamaha,11,1
Minardi Lamborghini,12,1
Venturi Lamborghini,13,1
