,Position,Points
Williams Ford,1,95
Brabham Ford,2,61
Renault,3,54
Ligier Matra,4,44
Ferrari,5,34
McLaren Ford,6,28
Lotus Ford,7,22
Arrows Ford,8,10
Alfa Romeo,8,10
Tyrrell Ford,8,10
Ensign Ford,11,5
Theodore Ford,12,1
ATS Ford,12,1
