,Position,Points
Red Bull Racing Renault,1,596
Mercedes,2,360
Ferrari,3,354
Lotus Renault,4,315
McLaren Mercedes,5,122
Force India Mercedes,6,77
Sauber Ferrari,7,57
STR Ferrari,8,33
Williams Renault,9,5
Marussia Cosworth,10,0
Caterham Renault,11,0
