,Position,Points
Williams Renault,1,118
Benetton Ford,2,103
Ferrari,3,71
McLaren Peugeot,4,42
Jordan Hart,5,28
Ligier Renault,6,13
Tyrrell Yamaha,6,13
Sauber Mercedes,8,12
Footwork Ford,9,9
Minardi Ford,10,5
Larrousse Ford,11,2
