,Position,Points
McLaren Honda,1,141
Williams Renault,2,77
Ferrari,3,59
Benetton Ford,4,39
Tyrrell Ford,5,16
Lotus Judd,6,15
Arrows Ford,7,13
Dallara Ford,8,8
Brabham Judd,8,8
Onyx Ford,10,6
Minardi Ford,10,6
March Judd,12,4
Rial Ford,13,3
Ligier Ford,13,3
AGS Ford,15,1
Lola Lamborghini,15,1
