,Position,Driver,Car,Time / Gap,Laps
2,1,Rubens Barrichello,Ferrari,1:10.549,39
1,2,Michael Schumacher,Ferrari,+0.030s,44
6,3,Juan Pablo Montoya,Williams BMW,+0.064s,45
4,4,Kimi Räikkönen,McLaren Mercedes,+0.108s,40
25,5,Allan McNish,Toyota,+0.591s,44
21,6,Enrique Bernoldi,Arrows Cosworth,+0.695s,28
17,7,Pedro de la Rosa,Jaguar Cosworth,+0.787s,40
12,8,Olivier Panis,BAR Honda,+0.833s,66
3,9,David Coulthard,McLaren Mercedes,+0.867s,45
10,10,Takuma Sato,Jordan Honda,+0.988s,42
16,11,Eddie Irvine,Jaguar Cosworth,+1.059s,43
5,12,Ralf Schumacher,Williams BMW,+1.103s,46
20,13,Heinz-Harald Frentzen,Arrows Cosworth,+1.194s,29
15,14,Jenson Button,Renault,+1.221s,47
8,15,Felipe Massa,Sauber Petronas,+1.464s,50
7,16,Nick Heidfeld,Sauber Petronas,+1.474s,28
14,17,Jarno Trulli,Renault,+1.606s,47
9,18,Giancarlo Fisichella,Jordan Honda,+1.644s,26
24,19,Mika Salo,Toyota,+1.826s,48
22,20,Alex Yoong,Minardi Asiatech,+2.015s,52
11,21,Jacques Villeneuve,BAR Honda,+2.025s,44
23,22,Mark Webber,Minardi Asiatech,+2.670s,47
