,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:08.082,10
5,2,Ralf Schumacher,Williams BMW,1:08.364,12
1,3,Michael Schumacher,Ferrari,1:08.704,10
6,4,Juan Pablo Montoya,Williams BMW,1:09.118,12
7,5,Nick Heidfeld,Sauber Petronas,1:09.129,11
4,6,Kimi Räikkönen,McLaren Mercedes,1:09.154,12
8,7,Felipe Massa,Sauber Petronas,1:09.228,10
3,8,David Coulthard,McLaren Mercedes,1:09.335,12
12,9,Olivier Panis,BAR Honda,1:09.561,12
24,10,Mika Salo,Toyota,1:09.661,11
20,11,Heinz-Harald Frentzen,Arrows Cosworth,1:09.671,11
21,12,Enrique Bernoldi,Arrows Cosworth,1:09.723,12
15,13,Jenson Button,Renault,1:09.780,11
25,14,Allan McNish,Toyota,1:09.818,12
9,15,Giancarlo Fisichella,Jordan Honda,1:09.901,12
14,16,Jarno Trulli,Renault,1:09.980,10
11,17,Jacques Villeneuve,BAR Honda,1:10.051,12
10,18,Takuma Sato,Jordan Honda,1:10.058,12
17,19,Pedro de la Rosa,Jaguar Cosworth,1:10.533,12
16,20,Eddie Irvine,Jaguar Cosworth,1:10.741,10
23,21,Mark Webber,Minardi Asiatech,1:11.388,10
22,22,Alex Yoong,Minardi Asiatech,1:12.336,12
