,Position,Driver,Car,Time
2,1,Rubens Barrichello,Ferrari,1:08.082
5,2,Ralf Schumacher,Williams BMW,1:08.364
1,3,Michael Schumacher,Ferrari,1:08.704
6,4,Juan Pablo Montoya,Williams BMW,1:09.118
7,5,Nick Heidfeld,Sauber Petronas,1:09.129
4,6,Kimi Räikkönen,McLaren Mercedes,1:09.154
8,7,Felipe Massa,Sauber Petronas,1:09.228
3,8,David Coulthard,McLaren Mercedes,1:09.335
12,9,Olivier Panis,BAR Honda,1:09.561
24,10,Mika Salo,Toyota,1:09.661
20,11,Heinz-Harald Frentzen,Arrows Cosworth,1:09.671
21,12,Enrique Bernoldi,Arrows Cosworth,1:09.723
15,13,Jenson Button,Renault,1:09.780
25,14,Allan McNish,Toyota,1:09.818
9,15,Giancarlo Fisichella,Jordan Honda,1:09.901
14,16,Jarno Trulli,Renault,1:09.980
11,17,Jacques Villeneuve,BAR Honda,1:10.051
10,18,Takuma Sato,Jordan Honda,1:10.058
17,19,Pedro de la Rosa,Jaguar Cosworth,1:10.533
16,20,Eddie Irvine,Jaguar Cosworth,1:10.741
23,21,Mark Webber,Minardi Asiatech,1:11.388
22,22,Alex Yoong,Minardi Asiatech,1:12.336
