,Position,Driver,Car,Laps,Time,Points
1,1,Sebastian Vettel,Red Bull Racing Renault,55,1:36:28.651,25
2,2,Mark Webber,Red Bull Racing Renault,55,+8.231s,18
5,3,Fernando Alonso,Ferrari,55,+13.944s,15
6,4,Felipe Massa,Ferrari,55,+20.168s,12
9,5,Kimi Räikkönen,Lotus Renault,55,+36.739s,10
12,6,Nico Hulkenberg,Force India Mercedes,55,+45.301s,8
10,7,Romain Grosjean,Lotus Renault,55,+54.812s,6
17,8,Jean-Eric Vergne,STR Ferrari,55,+69.589s,4
16,9,Daniel Ricciardo,STR Ferrari,55,+71.787s,2
4,10,Lewis Hamilton,McLaren Mercedes,55,+79.692s,1
15,11,Sergio Perez,Sauber Ferrari,55,+80.062s,0
11,12,Paul di Resta,Force India Mercedes,55,+84.448s,0
7,13,Michael Schumacher,Mercedes,55,+89.241s,0
18,14,Pastor Maldonado,Williams Renault,55,+94.924s,0
19,15,Bruno Senna,Williams Renault,55,+96.902s,0
21,16,Vitaly Petrov,Caterham Renault,54,+1 lap,0
20,17,Heikki Kovalainen,Caterham Renault,54,+1 lap,0
24,18,Timo Glock,Marussia Cosworth,54,+1 lap,0
25,19,Charles Pic,Marussia Cosworth,53,+2 laps,0
23,20,Narain Karthikeyan,HRT Cosworth,53,+2 laps,0
22,NC,Pedro de la Rosa,HRT Cosworth,16,DNF,0
14,NC,Kamui Kobayashi,Sauber Ferrari,16,DNF,0
8,NC,Nico Rosberg,Mercedes,1,DNF,0
3,NC,Jenson Button,McLaren Mercedes,0,DNF,0
