,Position,Driver,Car,Time
2,1,Mark Webber,Red Bull Racing Renault,1:37.242
1,2,Sebastian Vettel,Red Bull Racing Renault,1:37.316
4,3,Lewis Hamilton,McLaren Mercedes,1:37.469
5,4,Fernando Alonso,Ferrari,1:37.534
9,5,Kimi Räikkönen,Lotus Renault,1:37.625
6,6,Felipe Massa,Ferrari,1:37.884
10,7,Romain Grosjean,Lotus Renault,1:37.934
12,8,Nico Hulkenberg,Force India Mercedes,1:38.266
8,9,Nico Rosberg,Mercedes,1:38.361
7,10,Michael Schumacher,Mercedes,1:38.513
3,11,Jenson Button,McLaren Mercedes,1:38.441
15,12,Sergio Perez,Sauber Ferrari,1:38.460
14,13,Kamui Kobayashi,Sauber Ferrari,1:38.594
11,14,Paul di Resta,Force India Mercedes,1:38.643
18,15,Pastor Maldonado,Williams Renault,1:38.725
17,16,Jean-Eric Vergne,STR Ferrari,1:39.340
19,17,Bruno Senna,Williams Renault,1:39.443
21,18,Vitaly Petrov,Caterham Renault,1:40.207
20,19,Heikki Kovalainen,Caterham Renault,1:40.333
24,20,Timo Glock,Marussia Cosworth,1:41.371
16,21,Daniel Ricciardo,STR Ferrari,1:39.084
22,22,Pedro de la Rosa,HRT Cosworth,1:42.881
23,23,Narain Karthikeyan,HRT Cosworth,
25,24,Charles Pic,Marussia Cosworth,1:41.317
