,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Mark Webber,Red Bull Racing Renault,1:38.397,1:38.220,1:37.242,17
1,2,Sebastian Vettel,Red Bull Racing Renault,1:38.208,1:37.767,1:37.316,13
4,3,Lewis Hamilton,McLaren Mercedes,1:39.180,1:38.000,1:37.469,16
5,4,Fernando Alonso,Ferrari,1:39.144,1:37.987,1:37.534,19
9,5,Kimi Räikkönen,Lotus Renault,1:38.887,1:38.227,1:37.625,17
6,6,Felipe Massa,Ferrari,1:38.937,1:38.253,1:37.884,16
10,7,Romain Grosjean,Lotus Renault,1:38.863,1:38.275,1:37.934,20
12,8,Nico Hulkenberg,Force India Mercedes,1:38.981,1:38.428,1:38.266,18
8,9,Nico Rosberg,Mercedes,1:38.999,1:38.417,1:38.361,17
7,10,Michael Schumacher,Mercedes,1:38.808,1:38.436,1:38.513,18
3,11,Jenson Button,McLaren Mercedes,1:38.615,1:38.441,,11
15,12,Sergio Perez,Sauber Ferrari,1:38.630,1:38.460,,13
14,13,Kamui Kobayashi,Sauber Ferrari,1:38.719,1:38.594,,14
11,14,Paul di Resta,Force India Mercedes,1:38.942,1:38.643,,15
18,15,Pastor Maldonado,Williams Renault,1:39.024,1:38.725,,16
16,16,Daniel Ricciardo,STR Ferrari,1:38.784,1:39.084,,13
17,17,Jean-Eric Vergne,STR Ferrari,1:38.744,1:39.340,,14
19,18,Bruno Senna,Williams Renault,1:39.443,,,9
21,19,Vitaly Petrov,Caterham Renault,1:40.207,,,7
20,20,Heikki Kovalainen,Caterham Renault,1:40.333,,,10
25,21,Charles Pic,Marussia Cosworth,1:41.317,,,8
24,22,Timo Glock,Marussia Cosworth,1:41.371,,,8
22,23,Pedro de la Rosa,HRT Cosworth,1:42.881,,,7
23,NC,Narain Karthikeyan,HRT Cosworth,DNS,,,1
