,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Mark Webber,Red Bull Racing Renault,54,1:42.037,198.104
6,2,Felipe Massa,Ferrari,48,1:42.242,197.707
5,3,Fernando Alonso,Ferrari,52,1:42.442,197.321
15,4,Sergio Perez,Sauber Ferrari,49,1:42.495,197.219
1,5,Sebastian Vettel,Red Bull Racing Renault,55,1:42.499,197.211
12,6,Nico Hulkenberg,Force India Mercedes,54,1:42.645,196.931
18,7,Pastor Maldonado,Williams Renault,55,1:42.679,196.865
17,8,Jean-Eric Vergne,STR Ferrari,48,1:42.721,196.785
4,9,Lewis Hamilton,McLaren Mercedes,49,1:42.721,196.785
10,10,Romain Grosjean,Lotus Renault,44,1:42.783,196.666
9,11,Kimi Räikkönen,Lotus Renault,51,1:42.822,196.592
16,12,Daniel Ricciardo,STR Ferrari,45,1:43.148,195.970
7,13,Michael Schumacher,Mercedes,49,1:43.184,195.902
19,14,Bruno Senna,Williams Renault,49,1:43.411,195.472
11,15,Paul di Resta,Force India Mercedes,48,1:43.517,195.272
25,16,Charles Pic,Marussia Cosworth,52,1:44.462,193.505
20,17,Heikki Kovalainen,Caterham Renault,43,1:44.955,192.596
21,18,Vitaly Petrov,Caterham Renault,50,1:45.013,192.490
24,19,Timo Glock,Marussia Cosworth,42,1:45.236,192.082
14,20,Kamui Kobayashi,Sauber Ferrari,3,1:47.066,188.799
23,21,Narain Karthikeyan,HRT Cosworth,39,1:47.068,188.795
22,22,Pedro de la Rosa,HRT Cosworth,9,1:49.861,183.996
