,Position,Driver,Car,Laps,Time,Points
6,1,Bob Sweikert,Kurtis Kraft Offenhauser,200,3:53:59.530,8
10,2,Paul Russo,Kurtis Kraft Offenhauser,,SHC,3
15,3,Jimmy Davies,Kurtis Kraft Offenhauser,200,OK,4
44,4,Johnny Thomson,Kuzma Offenhauser,200,OK,3
77,5,Bill Homeier,Kurtis Kraft Offenhauser,,SHC,1
19,6,Andy Linden,Kurtis Kraft Offenhauser,200,OK,0
71,7,Al  Herman,Kurtis Kraft Offenhauser,200,OK,0
29,8,Pat  O'Connor,Kurtis Kraft Offenhauser,200,OK,0
48,9,Jimmy  Daywalt,Kurtis Kraft Offenhauser,200,OK,0
89,10,Pat Flaherty,Kurtis Kraft Offenhauser,200,OK,0
98,11,Duane Carter,Kuzma Offenhauser,197,+3 laps,0
41,12,Chuck  Weyant,Kurtis Kraft Offenhauser,196,+4 laps,0
83,13,Eddie Johnson,Trevis Offenhauser,196,+4 laps,0
33,14,Jim Rathmann,Epperly Offenhauser,191,+9 laps,0
12,15,Don  Freeland,Phillips Offenhauser,178,DNF,0
22,16,Cal  Niday,Kurtis Kraft Offenhauser,170,DNF,0
99,17,Art Cross,Kurtis Kraft Offenhauser,168,DNF,0
81,18,Shorty  Templeman,Trevis Offenhauser,142,DNF,0
8,19,Sam Hanks,Kurtis Kraft Offenhauser,134,DNF,0
31,20,Keith  Andrews,Schroeder Offenhauser,120,DNF,0
16,21,Johnnie  Parsons,Kurtis Kraft Offenhauser,119,DNF,0
37,22,Eddie  Russo,Pawl Offenhauser,112,DNF,0
49,23,Ray  Crawford,Kurtis Kraft Offenhauser,111,DNF,0
1,24,Jimmy Bryan,Kuzma Offenhauser,90,DNF,0
4,25,Bill  Vukovich ,Kurtis Kraft Offenhauser,56,DNF,1
3,26,Jack McGrath,Kurtis Kraft Offenhauser,54,DNF,0
42,27,Al  Keller,Kurtis Kraft Offenhauser,54,DNF,0
27,28,Rodger Ward,Kuzma Offenhauser,53,DNF,0
39,29,Johnny  Boyd,Kurtis Kraft Offenhauser,53,DNF,0
68,30,Ed  Elisian,Kurtis Kraft Offenhauser,53,DNF,0
23,31,Jerry  Hoyt,Stevens Offenhauser,40,DNF,0
14,32,Fred Agabashian,Kurtis Kraft Offenhauser,39,DNF,0
5,33,Jimmy Reece,Pankratz Offenhauser,10,DNF,0
