,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,66,1:15.545,217.968,16:44:17
77,2,Valtteri Bottas,Mercedes,65,1:15.721,217.461,16:43:05
33,3,Max Verstappen,Red Bull Racing TAG Heuer,66,1:15.852,217.085,16:44:25
7,4,Kimi Räikkönen,Ferrari,64,1:15.990,216.691,16:41:51
8,5,Romain Grosjean,Haas Ferrari,66,1:16.716,214.641,16:44:45
5,6,Sebastian Vettel,Ferrari,39,1:17.290,213.046,16:04:17
55,7,Carlos Sainz,Renault,63,1:17.430,212.661,16:40:54
2,8,Stoffel Vandoorne,McLaren Renault,67,1:17.537,212.368,16:46:20
28,9,Brendon Hartley,Scuderia Toro Rosso Honda,66,1:17.681,211.974,16:44:49
20,10,Kevin Magnussen,Haas Ferrari,66,1:17.697,211.930,16:44:50
14,11,Fernando Alonso,McLaren Renault,60,1:17.741,211.811,16:38:19
9,12,Marcus Ericsson,Sauber Ferrari,65,1:17.745,211.800,16:43:29
10,13,Pierre Gasly,Scuderia Toro Rosso Honda,66,1:17.762,211.753,16:46:12
16,14,Charles Leclerc,Sauber Ferrari,64,1:17.852,211.509,16:43:37
11,15,Sergio Perez,Force India Mercedes,66,1:17.867,211.468,16:44:44
27,16,Nico Hulkenberg,Renault,66,1:17.910,211.351,16:44:41
31,17,Esteban Ocon,Force India Mercedes,64,1:17.941,211.267,16:42:10
3,18,Daniel Ricciardo,Red Bull Racing TAG Heuer,22,1:18.262,210.400,15:42:38
18,19,Lance Stroll,Williams Mercedes,35,1:18.861,208.802,16:00:41
35,20,Sergey Sirotkin,Williams Mercedes,36,1:18.934,208.609,16:02:04
