,Position,Driver,Car,Time / Gap,Laps
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:13.525,22
44,2,Lewis Hamilton,Mercedes,+0.004s,29
33,3,Max Verstappen,Red Bull Racing TAG Heuer,+0.189s,34
5,4,Sebastian Vettel,Ferrari,+0.271s,23
77,5,Valtteri Bottas,Mercedes,+0.378s,30
7,6,Kimi Räikkönen,Ferrari,+0.742s,24
8,7,Romain Grosjean,Haas Ferrari,+1.166s,29
20,8,Kevin Magnussen,Haas Ferrari,+1.328s,28
16,9,Charles Leclerc,Sauber Ferrari,+1.572s,25
27,10,Nico Hulkenberg,Renault,+1.757s,32
11,11,Sergio Perez,Force India Mercedes,+1.890s,29
14,12,Fernando Alonso,McLaren Renault,+2.019s,13
18,13,Lance Stroll,Williams Mercedes,+2.104s,32
55,14,Carlos Sainz,Renault,+2.244s,10
28,15,Brendon Hartley,Scuderia Toro Rosso Honda,+2.339s,36
35,16,Sergey Sirotkin,Williams Mercedes,+2.351s,34
34,17,Nicholas Latifi,Force India Mercedes,+2.498s,27
10,18,Pierre Gasly,Scuderia Toro Rosso Honda,+2.546s,32
36,19,Antonio Giovinazzi,Sauber Ferrari,+2.611s,23
2,20,Stoffel Vandoorne,McLaren Renault,+2.624s,14
