,Position,Driver,Car,Time
5,1,Sebastian Vettel,Ferrari,1:11.212
77,2,Valtteri Bottas,Mercedes,1:11.416
7,3,Kimi Räikkönen,Ferrari,1:11.547
33,4,Max Verstappen,Red Bull Racing TAG Heuer,1:11.822
20,5,Kevin Magnussen,Haas Ferrari,1:12.200
8,6,Romain Grosjean,Haas Ferrari,1:12.544
27,7,Nico Hulkenberg,Renault,1:12.560
55,8,Carlos Sainz,Renault,1:12.692
16,9,Charles Leclerc,Sauber Ferrari,1:12.717
11,10,Sergio Perez,Force India Mercedes,1:12.774
14,11,Fernando Alonso,McLaren Renault,1:13.657
35,12,Sergey Sirotkin,Williams Mercedes,1:13.702
9,13,Marcus Ericsson,Sauber Ferrari,1:13.736
44,14,Lewis Hamilton,Mercedes,1:13.012
31,15,Esteban Ocon,Force India Mercedes,1:13.720
28,16,Brendon Hartley,Scuderia Toro Rosso Honda,1:14.045
18,17,Lance Stroll,Williams Mercedes,1:14.206
2,18,Stoffel Vandoorne,McLaren Renault,1:14.401
3,19,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:13.318
10,20,Pierre Gasly,Scuderia Toro Rosso Honda,1:13.749
