,Position,Driver,Car,Lap,Time
6,1,Nelson Piquet,Williams Honda,63,1:25.443
5,2,Nigel Mansell,Williams Honda,33,1:26.552
1,3,Alain Prost,McLaren TAG,63,1:26.859
2,4,Keke Rosberg,McLaren TAG,19,1:27.479
12,5,Ayrton Senna,Lotus Renault,63,1:27.503
26,6,Jacques Laffite,Ligier Renault,60,1:27.742
25,7,Rene Arnoux,Ligier Renault,63,1:27.981
27,8,Michele Alboreto,Ferrari,37,1:28.408
28,9,Stefan Johansson,Ferrari,27,1:28.853
15,10,Alan  Jones,Lola Hart,58,1:29.366
3,11,Martin Brundle,Tyrrell Renault,57,1:29.553
20,12,Gerhard Berger,Benetton BMW,34,1:30.361
23,13,Andrea de Cesaris,Minardi Motori Moderni,37,1:30.514
7,14,Riccardo Patrese,Brabham BMW,15,1:30.731
18,15,Thierry Boutsen,Arrows BMW,28,1:30.975
8,16,Derek Warwick,Brabham BMW,18,1:31.139
11,17,Johnny Dumfries,Lotus Renault,6,1:31.623
4,18,Philippe Streiff,Tyrrell Renault,55,1:32.209
19,19,Teo Fabi,Benetton BMW,11,1:32.317
24,20,Alessandro Nannini,Minardi Motori Moderni,5,1:33.173
29,21,Huub Rothengatter,Zakspeed,8,1:33.568
21,22,Piercarlo Ghinzani,Osella Alfa Romeo,19,1:33.598
14,23,Jonathan  Palmer,Zakspeed,7,1:33.764
22,24,Christian Danner,Osella Alfa Romeo,4,1:37.444
