,Position,Driver,Car,Lap,Time
10,1,David Coulthard,McLaren Mercedes,37,1:19.635
4,2,Heinz-Harald Frentzen,Williams Renault,49,1:19.997
5,3,Michael Schumacher,Ferrari,27,1:20.171
7,4,Jean Alesi,Benetton Renault,50,1:20.679
16,5,Johnny Herbert,Sauber Petronas,33,1:20.709
14,6,Olivier Panis,Prost Mugen Honda,47,1:20.945
12,7,Giancarlo Fisichella,Jordan Peugeot,27,1:21.013
8,8,Alexander Wurz,Benetton Renault,25,1:21.048
19,9,Mika Salo,Tyrrell Ford,24,1:21.622
18,10,Jos Verstappen,Tyrrell Ford,21,1:21.902
15,11,Shinji Nakano,Prost Mugen Honda,48,1:22.077
22,12,Rubens Barrichello,Stewart Ford,26,1:22.366
11,13,Ralf Schumacher,Jordan Peugeot,14,1:22.372
2,14,Pedro Diniz,Arrows Yamaha,34,1:22.434
1,15,Damon Hill,Arrows Yamaha,6,1:22.435
17,16,Gianni Morbidelli,Sauber Petronas,32,1:22.659
21,17,Jarno Trulli,Minardi Hart,29,1:22.712
20,18,Ukyo Katayama,Minardi Hart,5,1:24.294
3,19,Jacques Villeneuve,Williams Renault,1,1:28.356
