,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,41,1:34.225,223.201,17:25:05
33,2,Max Verstappen,Red Bull Racing TAG Heuer,47,1:34.275,223.083,17:33:26
7,3,Kimi Räikkönen,Ferrari,48,1:34.398,222.792,17:35:20
5,4,Sebastian Vettel,Ferrari,42,1:34.485,222.587,17:26:22
44,5,Lewis Hamilton,Mercedes,49,1:34.509,222.531,17:36:32
14,6,Fernando Alonso,McLaren Renault,48,1:35.133,221.071,17:37:25
3,7,Daniel Ricciardo,Red Bull Racing TAG Heuer,37,1:35.382,220.494,17:17:42
20,8,Kevin Magnussen,Haas Ferrari,50,1:35.425,220.395,17:39:24
55,9,Carlos Sainz,Renault,46,1:35.638,219.904,17:32:57
8,10,Romain Grosjean,Haas Ferrari,47,1:35.695,219.773,17:35:00
27,11,Nico Hulkenberg,Renault,46,1:35.873,219.365,17:33:12
16,12,Charles Leclerc,Sauber Ferrari,45,1:35.977,219.127,17:31:38
9,13,Marcus Ericsson,Sauber Ferrari,37,1:36.494,217.953,17:19:09
2,14,Stoffel Vandoorne,McLaren Renault,48,1:36.675,217.545,17:36:52
28,15,Brendon Hartley,Scuderia Toro Rosso Honda,40,1:36.839,217.176,17:24:03
35,16,Sergey Sirotkin,Williams Mercedes,35,1:38.300,213.949,17:15:38
11,17,Sergio Perez,Force India Mercedes,25,1:38.319,213.907,16:58:52
18,18,Lance Stroll,Williams Mercedes,35,1:38.319,213.907,17:15:37
