,Position,Driver,Car,Time,Laps
14,1,Rubens Barrichello,Jordan Hart,2:21.163,9
5,2,Michael Schumacher,Benetton Ford,2:21.494,12
0,3,Damon Hill,Williams Renault,2:21.681,19
15,4,Eddie Irvine,Jordan Hart,2:22.074,11
27,5,Jean Alesi,Ferrari,2:22.202,20
6,6,Jos Verstappen,Benetton Ford,2:22.218,15
2,7,David Coulthard,Williams Renault,2:22.359,19
7,8,Mika Hakkinen,McLaren Peugeot,2:22.441,18
30,9,Heinz-Harald Frentzen,Sauber Mercedes,2:22.634,20
23,10,Pierluigi Martini,Minardi Ford,2:23.326,14
28,11,Gerhard Berger,Ferrari,2:23.895,12
4,12,Mark Blundell,Tyrrell Yamaha,2:24.048,14
8,13,Martin Brundle,McLaren Peugeot,2:24.117,15
10,14,Gianni Morbidelli,Footwork Ford,2:25.114,19
29,15,Andrea de Cesaris,Sauber Mercedes,2:25.695,18
25,16,Eric Bernard,Ligier Renault,2:26.044,18
26,17,Olivier Panis,Ligier Renault,2:26.079,17
24,18,Michele Alboreto,Minardi Ford,2:26.738,14
19,19,Philippe Alliot,Larrousse Ford,2:26.901,19
12,20,Johnny Herbert,Lotus Mugen Honda,2:27.155,16
31,21,David Brabham,Simtek Ford,2:27.212,14
20,22,Erik Comas,Larrousse Ford,2:28.156,19
3,23,Ukyo Katayama,Tyrrell Yamaha,2:28.979,13
9,24,Christian Fittipaldi,Footwork Ford,2:30.931,12
32,25,Jean-Marc Gounon,Simtek Ford,2:31.755,10
11,26,Philippe Adams,Lotus Mugen Honda,2:33.885,20
34,27,Bertrand Gachot,Pacific Ilmor,2:34.582,15
33,28,Paul Belmondo,Pacific Ilmor,2:35.729,7
