,Position,Driver,Car,Laps,Time,Points
21,1,Jackie Stewart,Tyrrell Ford,95,1:57:58.820,9
17,2,Denny Hulme,McLaren Ford,95,+25.960s,6
8,3,Jacky Ickx,Ferrari,95,+59.390s,4
9,4,Clay Regazzoni,Ferrari,95,+66.720s,3
19,5,Tim   Schenken,Surtees Ford,95,+69.110s,2
14,6,Ronnie Peterson,March Ford,94,+1 lap,1
2,7,Carlos Reutemann,Brabham Ford,93,+2 laps,0
23,8,Henri Pescarolo,March Ford,93,+2 laps,0
3,9,Howden  Ganley ,BRM,93,+2 laps,0
7,10,Helmut  Marko ,BRM,93,+2 laps,0
15,11,Niki Lauda,March Ford,93,+2 laps,0
11,NC,Emerson Fittipaldi,Lotus Ford,61,DNF,0
4,NC,Reine   Wisell,BRM,59,DNF,0
22,NC,Francois  Cevert ,Tyrrell Ford,59,DNF,0
18,NC,Peter   Revson,McLaren Ford,49,DNF,0
10,NC,Mario Andretti,Ferrari,20,DNF,0
1,NC,Graham Hill,Brabham Ford,11,DNF,0
20,NC,Andrea de Adamich ,Surtees Ford,11,DNF,0
12,DQ,Dave  Walker ,Lotus Ford,8,DSQ,0
5,NC,Peter  Gethin ,BRM,1,DNF,0
6,NC,Alex  Soler-Roig ,BRM,1,DNF,0
