,Position,Driver,Car,Time / Gap
27,1,Ayrton Senna,McLaren Honda,1:24.496
2,2,Nigel Mansell,Ferrari,+0.611s
6,3,Riccardo Patrese,Williams Renault,+0.848s
28,4,Gerhard Berger,McLaren Honda,+0.851s
1,5,Alain Prost,Ferrari,+1.466s
5,6,Thierry Boutsen,Williams Renault,+1.472s
19,7,Alessandro Nannini,Benetton Ford,+1.613s
22,8,Andrea de Cesaris,Dallara Ford,+2.378s
23,9,Pierluigi Martini,Minardi Ford,+2.468s
20,10,Nelson Piquet,Benetton Ford,+2.548s
12,11,Martin Donnelly,Lotus Lamborghini,+2.701s
25,12,Nicola Larini,Ligier Ford,+3.159s
4,13,Jean Alesi,Tyrrell Ford,+3.305s
26,14,Philippe Alliot,Ligier Ford,+3.350s
11,15,Derek Warwick,Lotus Lamborghini,+3.542s
30,16,Aguri Suzuki,Lola Lamborghini,+3.672s
29,17,Eric Bernard,Lola Lamborghini,+4.059s
21,18,Emanuele Pirro,Dallara Ford,+4.173s
3,19,Satoru Nakajima,Tyrrell Ford,+4.242s
35,20,Gregor Foitek,Onyx Ford,+4.371s
36,21,Jyrki Jarvilehto,Onyx Ford,+4.431s
15,22,Mauricio Gugelmin,Leyton House Judd,+4.614s
10,23,Alex Caffi,Arrows Ford,+4.663s
33,24,Roberto Moreno,Euro Brun Judd,+4.826s
24,25,Paolo Barilla,Minardi Ford,+5.101s
8,26,Stefano Modena,Brabham Judd,+5.272s
14,27,Olivier Grouillard,Osella Ford,+5.294s
9,28,Michele Alboreto,Arrows Ford,+5.434s
16,29,Ivan Capelli,Leyton House Judd,+5.822s
7,30,David Brabham,Brabham Judd,+6.578s
