,Position,Driver,Car,Time,Laps
4,1,Ralf Schumacher,Williams BMW,1:12.275,6
9,2,Jenson Button,BAR Honda,1:12.341,6
7,3,Jarno Trulli,Renault,1:13.023,6
3,4,Juan Pablo Montoya,Williams BMW,1:13.072,6
8,5,Fernando Alonso,Renault,1:13.308,6
1,6,Michael Schumacher,Ferrari,1:13.355,6
2,7,Rubens Barrichello,Ferrari,1:13.562,6
6,8,Kimi Räikkönen,McLaren Mercedes,1:13.595,6
5,9,David Coulthard,McLaren Mercedes,1:13.681,6
15,10,Christian Klien,Jaguar Cosworth,1:14.532,6
11,11,Giancarlo Fisichella,Sauber Petronas,1:14.674,6
16,12,Cristiano da Matta,Toyota,1:14.851,6
17,13,Olivier Panis,Toyota,1:14.891,6
14,14,Mark Webber,Jaguar Cosworth,1:15.148,6
18,15,Nick Heidfeld,Jordan Ford,1:15.321,6
19,16,Timo Glock,Jordan Ford,1:16.323,6
10,17,Takuma Sato,BAR Honda,1:17.004,6
21,18,Zsolt Baumgartner,Minardi Cosworth,1:17.064,6
12,19,Felipe Massa,Sauber Petronas,1:14.392,4
20,20,Gianmaria Bruni,Minardi Cosworth,,2
