,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Rubens Barrichello,Ferrari,68,1:13.622,213.246
1,2,Michael Schumacher,Ferrari,18,1:13.630,213.222
4,3,Ralf Schumacher,Williams BMW,70,1:14.040,212.042
8,4,Fernando Alonso,Renault,41,1:14.179,211.644
9,5,Jenson Button,BAR Honda,68,1:14.246,211.453
3,6,Juan Pablo Montoya,Williams BMW,69,1:14.295,211.314
6,7,Kimi Räikkönen,McLaren Mercedes,44,1:14.752,210.022
10,8,Takuma Sato,BAR Honda,25,1:15.076,209.116
11,9,Giancarlo Fisichella,Sauber Petronas,47,1:15.078,209.110
5,10,David Coulthard,McLaren Mercedes,55,1:15.478,208.002
12,11,Felipe Massa,Sauber Petronas,25,1:15.560,207.776
16,12,Cristiano da Matta,Toyota,39,1:15.652,207.523
15,13,Christian Klien,Jaguar Cosworth,45,1:15.731,207.307
18,14,Nick Heidfeld,Jordan Ford,18,1:15.890,206.873
17,15,Olivier Panis,Toyota,23,1:16.045,206.451
19,16,Timo Glock,Jordan Ford,42,1:16.300,205.761
14,17,Mark Webber,Jaguar Cosworth,6,1:16.739,204.584
21,18,Zsolt Baumgartner,Minardi Cosworth,64,1:17.516,202.533
20,19,Gianmaria Bruni,Minardi Cosworth,25,1:18.025,201.212
