,Position,Driver,Car,Time
22,1,Lewis Hamilton,McLaren Mercedes,1:26.714
4,2,Robert Kubica,Sauber BMW,1:26.869
23,3,Heikki Kovalainen,McLaren Mercedes,1:27.079
2,4,Felipe Massa,Ferrari,1:27.178
3,5,Nick Heidfeld,Sauber BMW,1:27.236
11,6,Jarno Trulli,Toyota,1:28.527
7,7,Nico Rosberg,Williams Toyota,1:28.687
9,8,David Coulthard,Red Bull Renault,1:29.041
15,9,Sebastian Vettel,STR Ferrari,
17,10,Rubens Barrichello,Honda,1:26.173
5,11,Fernando Alonso,Renault,1:26.188
16,12,Jenson Button,Honda,1:26.259
8,13,Kazuki Nakajima,Williams Toyota,1:26.413
10,14,Mark Webber,Red Bull Renault,
1,15,Kimi Räikkönen,Ferrari,
21,16,Giancarlo Fisichella,Force India Ferrari,1:27.207
14,17,Sebastien Bourdais,STR Ferrari,1:27.446
12,18,Timo Glock,Toyota,1:29.593
18,19,Takuma Sato,Super Aguri Honda,1:28.208
6,20,Nelson Piquet,Renault,1:28.330
19,21,Anthony Davidson,Super Aguri Honda,1:29.059
