,Position,Driver,Car,Q1,Q2,Q3,Laps
22,1,Lewis Hamilton,McLaren Mercedes,1:26.572,1:25.187,1:26.714,14
4,2,Robert Kubica,Sauber BMW,1:26.103,1:25.315,1:26.869,15
23,3,Heikki Kovalainen,McLaren Mercedes,1:25.664,1:25.452,1:27.079,13
2,4,Felipe Massa,Ferrari,1:25.994,1:25.691,1:27.178,12
3,5,Nick Heidfeld,Sauber BMW,1:25.960,1:25.518,1:27.236,16
11,6,Jarno Trulli,Toyota,1:26.427,1:26.101,1:28.527,17
7,7,Nico Rosberg,Williams Toyota,1:26.295,1:26.059,1:28.687,21
9,8,David Coulthard,Red Bull Renault,1:26.381,1:26.063,1:29.041,18
12,9,Timo Glock,Toyota,1:26.919,1:26.164,1:29.593,17
15,10,Sebastian Vettel,STR Ferrari,1:26.702,1:25.842,DNF,18
17,11,Rubens Barrichello,Honda,1:26.369,1:26.173,,13
5,12,Fernando Alonso,Renault,1:26.907,1:26.188,,10
16,13,Jenson Button,Honda,1:26.712,1:26.259,,13
8,14,Kazuki Nakajima,Williams Toyota,1:26.891,1:26.413,,13
10,15,Mark Webber,Red Bull Renault,1:26.914,DNF,,8
1,16,Kimi Räikkönen,Ferrari,1:26.140,,,3
21,17,Giancarlo Fisichella,Force India Ferrari,1:27.207,,,9
14,18,Sebastien Bourdais,STR Ferrari,1:27.446,,,10
20,19,Adrian Sutil,Force India Ferrari,1:27.859,,,9
18,20,Takuma Sato,Super Aguri Honda,1:28.208,,,9
6,21,Nelson Piquet,Renault,1:28.330,,,6
19,22,Anthony Davidson,Super Aguri Honda,1:29.059,,,9
