,Position,Driver,Car,Time,Laps
6,1,Juan Pablo Montoya,Williams BMW,1:12.836,11
1,2,Michael Schumacher,Ferrari,1:13.018,11
2,3,Rubens Barrichello,Ferrari,1:13.280,11
5,4,Ralf Schumacher,Williams BMW,1:13.301,12
4,5,Kimi Räikkönen,McLaren Mercedes,1:13.898,12
9,6,Giancarlo Fisichella,Jordan Honda,1:14.132,12
7,7,Nick Heidfeld,Sauber Petronas,1:14.139,11
3,8,David Coulthard,McLaren Mercedes,1:14.385,11
11,9,Jacques Villeneuve,BAR Honda,1:14.564,10
14,10,Jarno Trulli,Renault,1:14.688,10
12,11,Olivier Panis,BAR Honda,1:14.713,12
8,12,Felipe Massa,Sauber Petronas,1:14.823,11
15,13,Jenson Button,Renault,1:14.854,12
16,14,Eddie Irvine,Jaguar Cosworth,1:14.882,6
10,15,Takuma Sato,Jordan Honda,1:14.940,9
17,16,Pedro de la Rosa,Jaguar Cosworth,1:15.089,12
21,17,Enrique Bernoldi,Arrows Cosworth,1:15.102,12
24,18,Mika Salo,Toyota,1:15.111,10
20,19,Heinz-Harald Frentzen,Arrows Cosworth,1:15.115,11
25,20,Allan McNish,Toyota,1:15.321,11
23,21,Mark Webber,Minardi Asiatech,1:15.508,11
22,22,Alex Yoong,Minardi Asiatech,1:17.347,10
