,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Nico Rosberg,Mercedes,1:25.227,1:23.310,1:22.715,20
1,2,Sebastian Vettel,Red Bull Racing Renault,1:25.662,1:23.606,1:23.201,16
77,3,Valtteri Bottas,Williams Mercedes,1:25.690,1:23.776,1:23.354,19
3,4,Daniel Ricciardo,Red Bull Racing Renault,1:25.495,1:23.676,1:23.391,18
14,5,Fernando Alonso,Ferrari,1:26.087,1:24.249,1:23.909,17
19,6,Felipe Massa,Williams Mercedes,1:26.592,1:24.030,1:24.223,19
22,7,Jenson Button,McLaren Mercedes,1:26.612,1:24.502,1:24.294,21
25,8,Jean-Eric Vergne,STR Renault,1:24.941,1:24.637,1:24.720,19
27,9,Nico Hulkenberg,Force India Mercedes,1:26.149,1:24.647,1:24.775,22
20,10,Kevin Magnussen,McLaren Mercedes,1:26.578,1:24.585,DNF,13
26,11,Daniil Kvyat,STR Renault,1:25.361,1:24.706,,14
99,12,Adrian Sutil,Sauber Ferrari,1:26.027,1:25.136,,12
11,13,Sergio Perez,Force India Mercedes,1:25.910,1:25.211,,11
21,14,Esteban Gutierrez ,Sauber Ferrari,1:25.709,1:25.260,,10
8,15,Romain Grosjean,Lotus Renault,1:26.136,1:25.337,,16
17,16,Jules Bianchi,Marussia Ferrari,1:26.728,1:27.419,,14
7,17,Kimi Räikkönen,Ferrari,1:26.792,,,5
10,18,Kamui Kobayashi,Caterham Renault,1:27.139,,,10
4,19,Max Chilton,Marussia Ferrari,1:27.819,,,7
9,20,Marcus Ericsson,Caterham Renault,1:28.643,,,10
44,NC,Lewis Hamilton,Mercedes,DNF,,,2
13,NC,Pastor Maldonado,Lotus Renault,DNS,,,1
