,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
6,1,Nico Rosberg,Mercedes,64,1:25.724,183.981,15:47:42
3,2,Daniel Ricciardo,Red Bull Racing Renault,58,1:26.608,182.103,15:38:39
77,3,Valtteri Bottas,Williams Mercedes,63,1:26.850,181.595,15:46:39
44,4,Lewis Hamilton,Mercedes,36,1:27.380,180.494,15:05:52
14,5,Fernando Alonso,Ferrari,40,1:27.419,180.413,15:12:03
7,6,Kimi Räikkönen,Ferrari,47,1:27.983,179.257,15:22:45
19,7,Felipe Massa,Williams Mercedes,51,1:28.229,178.757,15:28:37
99,8,Adrian Sutil,Sauber Ferrari,41,1:28.704,177.800,15:14:02
1,9,Sebastian Vettel,Red Bull Racing Renault,52,1:28.746,177.716,15:30:13
20,10,Kevin Magnussen,McLaren Mercedes,41,1:28.883,177.442,15:14:03
25,11,Jean-Eric Vergne,STR Renault,31,1:29.120,176.970,14:58:29
13,12,Pastor Maldonado,Lotus Renault,45,1:29.128,176.954,15:20:12
22,13,Jenson Button,McLaren Mercedes,50,1:29.156,176.898,15:27:26
26,14,Daniil Kvyat,STR Renault,51,1:29.401,176.414,15:29:12
4,15,Max Chilton,Marussia Ferrari,47,1:29.499,176.220,15:23:42
17,16,Jules Bianchi,Marussia Ferrari,49,1:29.883,175.468,15:26:39
11,17,Sergio Perez,Force India Mercedes,21,1:30.280,174.696,14:41:23
21,18,Esteban Gutierrez ,Sauber Ferrari,29,1:30.485,174.300,14:55:37
10,19,Kamui Kobayashi,Caterham Renault,21,1:32.888,169.791,14:41:47
27,20,Nico Hulkenberg,Force India Mercedes,14,1:41.151,155.921,14:30:34
8,21,Romain Grosjean,Lotus Renault,7,1:46.312,148.352,14:16:03
9,22,Marcus Ericsson,Caterham Renault,6,1:48.459,145.415,14:14:32
