,Position,Driver,Car,Q1,Q2,Q3,Laps
44,DQ,Lewis Hamilton,Mercedes,1:08.733,1:08.068,1:07.934,23
33,1,Max Verstappen,Red Bull Racing Honda,1:09.329,1:08.499,1:08.372,17
77,2,Valtteri Bottas,Mercedes,1:09.040,1:08.426,1:08.469,23
11,3,Sergio Perez,Red Bull Racing Honda,1:09.172,1:08.973,1:08.483,22
10,4,Pierre Gasly,AlphaTauri Honda,1:09.347,1:08.903,1:08.777,18
55,5,Carlos Sainz,Ferrari,1:09.046,1:09.031,1:08.826,19
16,6,Charles Leclerc,Ferrari,1:09.155,1:08.859,1:08.960,22
4,7,Lando Norris,McLaren Mercedes,1:09.365,1:09.030,1:08.980,22
3,8,Daniel Ricciardo,McLaren Mercedes,1:09.374,1:09.093,1:09.039,22
14,9,Fernando Alonso,Alpine Renault,1:09.391,1:09.137,1:09.113,19
31,10,Esteban Ocon,Alpine Renault,1:09.430,1:09.189,,14
5,11,Sebastian Vettel,Aston Martin Mercedes,1:09.451,1:09.399,,15
22,12,Yuki Tsunoda,AlphaTauri Honda,1:09.350,1:09.483,,9
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:09.598,1:09.503,,15
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:09.342,1:10.227,,14
18,15,Lance Stroll,Aston Martin Mercedes,1:09.663,,,9
6,16,Nicholas Latifi,Williams Mercedes,1:09.897,,,9
63,17,George Russell,Williams Mercedes,1:09.953,,,10
47,18,Mick Schumacher,Haas Ferrari,1:10.329,,,11
9,19,Nikita Mazepin,Haas Ferrari,1:10.589,,,10
