,Position,Driver,Car,Time
33,1,Max Verstappen,Red Bull Racing Honda,1:08.372
77,2,Valtteri Bottas,Mercedes,1:08.469
11,3,Sergio Perez,Red Bull Racing Honda,1:08.483
10,4,Pierre Gasly,AlphaTauri Honda,1:08.777
55,5,Carlos Sainz,Ferrari,1:08.826
16,6,Charles Leclerc,Ferrari,1:08.960
4,7,Lando Norris,McLaren Mercedes,1:08.980
3,8,Daniel Ricciardo,McLaren Mercedes,1:09.039
14,9,Fernando Alonso,Alpine Renault,1:09.113
31,10,Esteban Ocon,Alpine Renault,1:09.189
5,11,Sebastian Vettel,Aston Martin Mercedes,1:09.399
22,12,Yuki Tsunoda,AlphaTauri Honda,1:09.483
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:09.503
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:10.227
18,15,Lance Stroll,Aston Martin Mercedes,1:09.663
6,16,Nicholas Latifi,Williams Mercedes,1:09.897
63,17,George Russell,Williams Mercedes,1:09.953
47,18,Mick Schumacher,Haas Ferrari,1:10.329
9,19,Nikita Mazepin,Haas Ferrari,1:10.589
44,20,Lewis Hamilton,Mercedes,
