,Position,Driver,Car,Time,Laps
2,1,Rubens Barrichello,Ferrari,1:20.089,6
3,2,Juan Pablo Montoya,Williams BMW,1:20.620,6
1,3,Michael Schumacher,Ferrari,1:20.637,6
8,4,Fernando Alonso,Renault,1:20.645,6
10,5,Takuma Sato,BAR Honda,1:20.715,6
9,6,Jenson Button,BAR Honda,1:20.786,6
6,7,Kimi Räikkönen,McLaren Mercedes,1:20.877,6
4,8,Antonio Pizzonia,Williams BMW,1:20.888,6
7,9,Jarno Trulli,Renault,1:21.027,6
5,10,David Coulthard,McLaren Mercedes,1:21.049,6
16,11,Ricardo Zonta,Toyota,1:21.520,6
14,12,Mark Webber,Jaguar Cosworth,1:21.602,6
17,13,Olivier Panis,Toyota,1:21.841,6
15,14,Christian Klien,Jaguar Cosworth,1:21.989,6
11,15,Giancarlo Fisichella,Sauber Petronas,1:22.239,6
12,16,Felipe Massa,Sauber Petronas,1:22.287,6
18,17,Nick Heidfeld,Jordan Ford,1:22.301,5
19,18,Giorgio Pantano,Jordan Ford,1:23.239,6
21,19,Zsolt Baumgartner,Minardi Cosworth,1:24.808,6
20,20,Gianmaria Bruni,Minardi Cosworth,1:24.940,6
