,Position,Driver,Car,Lap,Time
4,1,Heinz-Harald Frentzen,Williams Renault,36,1:30.585
5,2,Michael Schumacher,Ferrari,54,1:31.067
10,3,David Coulthard,McLaren Mercedes,29,1:31.412
9,4,Mika Hakkinen,McLaren Mercedes,33,1:31.509
8,5,Gerhard Berger,Benetton Renault,54,1:31.624
14,6,Olivier Panis,Prost Mugen Honda,40,1:31.762
7,7,Jean Alesi,Benetton Renault,33,1:31.976
17,8,Nicola Larini,Sauber Petronas,27,1:32.784
22,9,Rubens Barrichello,Stewart Ford,24,1:33.386
12,10,Giancarlo Fisichella,Jordan Peugeot,14,1:34.147
15,11,Shinji Nakano,Prost Mugen Honda,52,1:34.171
19,12,Mika Salo,Tyrrell Ford,22,1:34.194
2,13,Pedro Diniz,Arrows Yamaha,23,1:34.465
20,14,Ukyo Katayama,Minardi Hart,14,1:34.918
23,15,Jan Magnussen,Stewart Ford,26,1:35.257
21,16,Jarno Trulli,Minardi Hart,21,1:35.959
18,17,Jos Verstappen,Tyrrell Ford,2,1:37.038
11,18,Ralf Schumacher,Jordan Peugeot,1,1:48.323
