,Position,Driver,Car,Time
2,1,Alain Prost,Williams Renault,1:14.631
0,2,Damon Hill,Williams Renault,1:14.835
5,3,Michael Schumacher,Benetton Ford,1:15.228
8,4,Ayrton Senna,McLaren Ford,1:16.451
6,5,Riccardo Patrese,Benetton Ford,1:16.561
28,6,Gerhard Berger,Ferrari,1:16.939
24,7,Pierluigi Martini,Minardi Ford,1:17.366
27,8,Jean Alesi,Ferrari,1:17.480
9,9,Derek Warwick,Footwork Mugen Honda,1:17.682
10,10,Aguri Suzuki,Footwork Mugen Honda,1:17.693
7,11,Michael Andretti,McLaren Ford,1:18.107
26,12,Mark Blundell,Ligier Renault,1:18.388
25,13,Martin Brundle,Ligier Renault,1:18.392
23,14,Christian Fittipaldi,Minardi Ford,1:18.446
30,15,Jyrki Jarvilehto,Sauber,1:18.638
14,16,Rubens Barrichello,Jordan Hart,1:18.721
29,17,Karl Wendlinger,Sauber,1:18.840
20,18,Erik Comas,Larrousse Lamborghini,1:19.305
19,19,Philippe Alliot,Larrousse Lamborghini,1:19.320
12,20,Johnny Herbert,Lotus Ford,1:19.444
11,21,Alessandro Zanardi,Lotus Ford,1:19.485
4,22,Andrea de Cesaris,Tyrrell Yamaha,1:19.560
3,23,Ukyo Katayama,Tyrrell Yamaha,1:20.270
15,24,Thierry Boutsen,Jordan Hart,1:20.482
21,25,Michele Alboreto,Lola Ferrari,1:21.502
22,26,Luca Badoer,Lola Ferrari,1:22.655
