,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:22.043,1:21.014,1:20.486,18
77,2,Valtteri Bottas,Mercedes,1:22.367,1:21.193,1:20.598,19
5,3,Sebastian Vettel,Ferrari,1:22.885,1:21.912,1:21.190,16
33,4,Max Verstappen,Red Bull Racing Honda,1:22.876,1:21.678,1:21.320,17
16,5,Charles Leclerc,Ferrari,1:22.017,1:21.739,1:21.442,17
8,6,Romain Grosjean,Haas Ferrari,1:22.959,1:21.870,1:21.826,17
20,7,Kevin Magnussen,Haas Ferrari,1:22.519,1:22.221,1:22.099,18
4,8,Lando Norris,McLaren Renault,1:22.702,1:22.423,1:22.304,21
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:22.966,1:22.349,1:22.314,17
11,10,Sergio Perez,Racing Point BWT Mercedes,1:22.908,1:22.532,1:22.781,15
27,11,Nico Hulkenberg,Renault,1:22.540,1:22.562,,10
3,12,Daniel Ricciardo,Renault,1:22.921,1:22.570,,12
23,13,Alexander Albon,Scuderia Toro Rosso Honda,1:22.757,1:22.636,,14
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:22.431,1:22.714,,14
26,15,Daniil Kvyat,Scuderia Toro Rosso Honda,1:22.511,1:22.774,,13
18,16,Lance Stroll,Racing Point BWT Mercedes,1:23.017,,,6
10,17,Pierre Gasly,Red Bull Racing Honda,1:23.020,,,6
55,18,Carlos Sainz,McLaren Renault,1:23.084,,,6
63,19,George Russell,Williams Mercedes,1:24.360,,,9
88,20,Robert Kubica,Williams Mercedes,1:26.067,,,8
