,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:20.486
77,2,Valtteri Bottas,Mercedes,1:20.598
5,3,Sebastian Vettel,Ferrari,1:21.190
33,4,Max Verstappen,Red Bull Racing Honda,1:21.320
16,5,Charles Leclerc,Ferrari,1:21.442
8,6,Romain Grosjean,Haas Ferrari,1:21.826
20,7,Kevin Magnussen,Haas Ferrari,1:22.099
4,8,Lando Norris,McLaren Renault,1:22.304
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:22.314
11,10,Sergio Perez,Racing Point BWT Mercedes,1:22.781
27,11,Nico Hulkenberg,Renault,1:22.562
3,12,Daniel Ricciardo,Renault,1:22.570
23,13,Alexander Albon,Scuderia Toro Rosso Honda,1:22.636
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:22.714
26,15,Daniil Kvyat,Scuderia Toro Rosso Honda,1:22.774
18,16,Lance Stroll,Racing Point BWT Mercedes,1:23.017
10,17,Pierre Gasly,Red Bull Racing Honda,1:23.020
55,18,Carlos Sainz,McLaren Renault,1:23.084
63,19,George Russell,Williams Mercedes,1:24.360
88,20,Robert Kubica,Williams Mercedes,1:26.067
