,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:33.051,1:31.424,1:30.466,14
4,2,Jenson Button,McLaren Mercedes,1:32.947,1:31.434,1:30.475,14
3,3,Lewis Hamilton,McLaren Mercedes,1:32.843,1:31.139,1:30.617,14
6,4,Felipe Massa,Ferrari,1:33.235,1:31.909,1:30.804,15
5,5,Fernando Alonso,Ferrari,1:32.817,1:31.612,1:30.886,13
2,6,Mark Webber,Red Bull Racing Renault,1:33.135,1:31.576,1:31.156,14
7,7,Michael Schumacher,Mercedes,1:33.748,1:32.116,DNF,10
9,8,Bruno Senna,Renault,1:33.359,1:32.297,DNF,12
10,9,Vitaly Petrov,Renault,1:32.877,1:32.245,DNF,17
16,10,Kamui Kobayashi,Sauber Ferrari,1:32.626,1:32.380,DNF,15
14,11,Adrian Sutil,Force India Mercedes,1:32.761,1:32.463,,14
15,12,Paul di Resta,Force India Mercedes,1:33.499,1:32.746,,10
11,13,Rubens Barrichello,Williams Cosworth,1:33.921,1:33.079,,13
12,14,Pastor Maldonado,Williams Cosworth,1:33.781,1:33.224,,14
18,15,Sebastien Buemi,STR Ferrari,1:33.064,1:33.227,,10
19,16,Jaime Alguersuari,STR Ferrari,1:35.111,1:33.427,,10
17,17,Sergio Perez,Sauber Ferrari,1:34.704,,,6
20,18,Heikki Kovalainen,Lotus Renault,1:35.454,,,3
21,19,Jarno Trulli,Lotus Renault,1:35.514,,,6
25,20,Jerome d'Ambrosio,Virgin Cosworth,1:36.439,,,8
24,21,Timo Glock,Virgin Cosworth,1:36.507,,,7
22,22,Daniel Ricciardo,HRT Cosworth,1:37.846,,,7
8,NC,Nico Rosberg,Mercedes,DNS,,,1
23,NC,Vitantonio Liuzzi,HRT Cosworth,DNS,,,2
