,Position,Driver,Car,Laps,Time,Points
4,1,Jenson Button,McLaren Mercedes,53,1:30:53.427,25
5,2,Fernando Alonso,Ferrari,53,+1.160s,18
1,3,Sebastian Vettel,Red Bull Racing Renault,53,+2.006s,15
2,4,Mark Webber,Red Bull Racing Renault,53,+8.071s,12
3,5,Lewis Hamilton,McLaren Mercedes,53,+24.268s,10
7,6,Michael Schumacher,Mercedes,53,+27.120s,8
6,7,Felipe Massa,Ferrari,53,+28.240s,6
17,8,Sergio Perez,Sauber Ferrari,53,+39.377s,4
10,9,Vitaly Petrov,Renault,53,+42.607s,2
8,10,Nico Rosberg,Mercedes,53,+44.322s,1
14,11,Adrian Sutil,Force India Mercedes,53,+54.447s,0
15,12,Paul di Resta,Force India Mercedes,53,+62.326s,0
16,13,Kamui Kobayashi,Sauber Ferrari,53,+63.705s,0
12,14,Pastor Maldonado,Williams Cosworth,53,+64.194s,0
19,15,Jaime Alguersuari,STR Ferrari,53,+66.623s,0
9,16,Bruno Senna,Renault,53,+72.628s,0
11,17,Rubens Barrichello,Williams Cosworth,53,+74.191s,0
20,18,Heikki Kovalainen,Lotus Renault,53,+87.824s,0
21,19,Jarno Trulli,Lotus Renault,53,+96.140s,0
24,20,Timo Glock,Virgin Cosworth,51,+2 laps,0
25,21,Jerome d'Ambrosio,Virgin Cosworth,51,+2 laps,0
22,22,Daniel Ricciardo,HRT Cosworth,51,+2 laps,0
23,23,Vitantonio Liuzzi,HRT Cosworth,50,+3 laps,0
18,NC,Sebastien Buemi,STR Ferrari,11,DNF,0
