,Position,Driver,Car,Time / Gap,Laps
3,1,Michael Schumacher,Ferrari,1:30.439,25
2,2,David Coulthard,McLaren Mercedes,+0.519s,18
5,3,Heinz-Harald Frentzen,Jordan Mugen Honda,+0.581s,15
4,4,Rubens Barrichello,Ferrari,+0.927s,29
9,5,Ralf Schumacher,Williams BMW,+1.163s,32
6,6,Jarno Trulli,Jordan Mugen Honda,+1.253s,27
18,7,Pedro de la Rosa,Arrows Supertec,+1.459s,25
19,8,Jos Verstappen,Arrows Supertec,+1.634s,25
22,9,Jacques Villeneuve,BAR Honda,+1.674s,29
8,10,Johnny Herbert,Jaguar Cosworth,+1.692s,19
17,11,Mika Salo,Sauber Petronas,+1.821s,29
7,12,Eddie Irvine,Jaguar Cosworth,+1.906s,28
11,13,Giancarlo Fisichella,Benetton Playlife,+1.943s,29
20,14,Marc Gene,Minardi Fondmetal,+2.002s,30
12,15,Alexander Wurz,Benetton Playlife,+2.215s,33
16,16,Pedro Diniz,Sauber Petronas,+2.482s,29
21,17,Gaston Mazzacane,Minardi Fondmetal,+2.600s,31
1,18,Mika Hakkinen,McLaren Mercedes,+2.635s,6
14,19,Jean Alesi,Prost Peugeot,+2.848s,10
23,20,Ricardo Zonta,BAR Honda,+3.236s,19
10,21,Jenson Button,Williams BMW,+3.352s,4
15,22,Nick Heidfeld,Prost Peugeot,+3.387s,16
