,Position,Driver,Car,Time,Laps
1,1,Mika Hakkinen,McLaren Mercedes,1:30.556,11
2,2,David Coulthard,McLaren Mercedes,1:30.910,11
3,3,Michael Schumacher,Ferrari,1:31.075,9
4,4,Rubens Barrichello,Ferrari,1:31.102,8
5,5,Heinz-Harald Frentzen,Jordan Mugen Honda,1:31.359,12
6,6,Jarno Trulli,Jordan Mugen Honda,1:31.504,8
7,7,Eddie Irvine,Jaguar Cosworth,1:31.514,10
22,8,Jacques Villeneuve,BAR Honda,1:31.968,11
11,9,Giancarlo Fisichella,Benetton Playlife,1:31.992,10
17,10,Mika Salo,Sauber Petronas,1:32.018,11
9,11,Ralf Schumacher,Williams BMW,1:32.220,9
18,12,Pedro de la Rosa,Arrows Supertec,1:32.323,11
19,13,Jos Verstappen,Arrows Supertec,1:32.477,11
12,14,Alexander Wurz,Benetton Playlife,1:32.775,11
15,15,Nick Heidfeld,Prost Peugeot,1:33.024,11
23,16,Ricardo Zonta,BAR Honda,1:33.117,10
14,17,Jean Alesi,Prost Peugeot,1:33.197,11
20,18,Marc Gene,Minardi Fondmetal,1:33.261,11
16,19,Pedro Diniz,Sauber Petronas,1:33.378,8
8,20,Johnny Herbert,Jaguar Cosworth,1:33.638,9
10,21,Jenson Button,Williams BMW,1:33.828,11
21,22,Gaston Mazzacane,Minardi Fondmetal,1:34.705,12
