,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,Ferrari,1:29.060,1:28.341,1:27.958,13
7,2,Kimi Räikkönen,Ferrari,1:28.951,1:28.515,1:28.101,13
77,3,Valtteri Bottas,Mercedes,1:29.275,1:28.794,1:28.124,16
44,4,Lewis Hamilton,Mercedes,1:29.396,1:28.458,1:28.220,16
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:29.552,1:28.962,1:28.398,12
10,6,Pierre Gasly,Scuderia Toro Rosso Honda,1:30.121,1:29.836,1:29.329,18
20,7,Kevin Magnussen,Haas Ferrari,1:29.594,1:29.623,1:29.358,16
27,8,Nico Hulkenberg,Renault,1:30.260,1:29.187,1:29.570,15
31,9,Esteban Ocon,Force India Mercedes,1:30.338,1:30.009,1:29.874,16
55,10,Carlos Sainz,Renault,1:29.893,1:29.802,1:29.986,18
28,11,Brendon Hartley,Scuderia Toro Rosso Honda,1:30.412,1:30.105,,15
11,12,Sergio Perez,Force India Mercedes,1:30.218,1:30.156,,11
14,13,Fernando Alonso,McLaren Renault,1:30.530,1:30.212,,12
2,14,Stoffel Vandoorne,McLaren Renault,1:30.479,1:30.525,,12
33,15,Max Verstappen,Red Bull Racing TAG Heuer,1:29.374,,,4
8,16,Romain Grosjean,Haas Ferrari,1:30.530,,,7
9,17,Marcus Ericsson,Sauber Ferrari,1:31.063,,,9
35,18,Sergey Sirotkin,Williams Mercedes,1:31.414,,,8
16,19,Charles Leclerc,Sauber Ferrari,1:31.420,,,8
18,20,Lance Stroll,Williams Mercedes,1:31.503,,,8
